,M,F
0,2048,824
1,236,43
2,319,209
3,1323,210
4,316,63
5,836,149
6,601,272
7,316,48
8,812,98
9,1169,193
10,356,90
11,142,42
12,132,42
13,46,13
14,162,14
15,137,15
16,2439,828
17,1486,111
18,351,210
19,1556,545
20,2520,385
21,85,7
