,0,1
0,158,14
1,8,1
2,110,3
3,18,1
4,15,1
5,23,0
6,47,25
7,29,1
8,16,2
9,109,13
10,4,2
11,16,1
12,16,3
13,7,0
14,6,3
15,1,0
16,187,14
17,19,1
18,40,12
19,172,19
20,127,16
21,177,25
