,M,F
0,684,223
1,1138,191
2,445,61
3,914,344
4,467,373
5,908,188
6,846,159
7,692,105
8,342,139
9,1135,356
10,398,176
11,410,216
12,500,52
13,261,67
14,825,112
15,26,2
16,1669,416
17,229,33
18,548,104
19,502,59
20,1045,419
21,36,12
