,M,F
0,478,98
1,310,6
2,506,112
3,413,6
4,150,2
5,304,5
6,605,6
7,134,3
8,399,20
9,678,18
10,463,21
11,454,13
12,599,13
13,175,1
14,419,13
15,57,1
16,3899,127
17,2949,149
18,833,13
19,1177,28
20,2545,81
21,46,4
