,0,1
0,240,6
1,156,8
2,208,3
3,360,120
4,241,1
5,276,4
6,570,127
7,115,10
8,254,5
9,329,17
10,314,15
11,276,18
12,378,22
13,89,4
14,102,7
15,56,2
16,681,45
17,130,7
18,310,15
19,293,18
20,325,44
21,26,1
