,empty,male,feamle
  ,10603,0,0
00,0,12607,34646
01,0,2664,628
02,0,372,32
03,0,3624,186
04,0,478,44
05,0,287,94
06,0,413,95
07,0,968,94
08,0,1043,289
09,0,1452,310
10,0,933,629
11,0,822,94
12,0,892,160
13,0,252,130
14,0,207,180
15,0,1039,395
16,0,28,26
17,0,439,398
18,0,231,897
19,0,494,132
20,0,696,314
21,0,675,184
22,0,165,30
23,0,290,154
24,0,136,172
25,0,484,30
26,0,1451,287
27,0,421,417
28,0,754,106
29,0,1548,478
30,0,796,1207
31,0,4359,3136
32,0,359,1674
33,0,488,674
34,0,951,738
35,0,594,430
36,0,737,88
37,0,658,1338
38,0,408,220
39,0,362,843
40,0,448,1582
41,0,317,310
42,0,1751,2906
43,0,659,411
44,0,62,8
45,0,455,104
46,0,756,370
47,0,314,221
48,0,726,344
