,M,F
0,674,137
1,158,12
2,328,13
3,398,40
4,211,16
5,442,54
6,1145,236
7,227,8
8,260,10
9,801,46
10,446,11
11,368,44
12,398,17
13,116,1
14,142,4
15,57,4
16,3059,332
17,161,3
18,961,74
19,1544,110
20,1033,79
21,123,25
