,risky_m,risky_f,full_m,full_f
"(43.0, '台北縣')",0.41955203311759,0.11367982580706239,0.41955203311759,0.11367982580706239
"(43.0, '宜蘭縣')",0.7560238784370478,0.4184303930590246,0.7560238784370478,0.4184303930590246
"(43.0, '桃園縣')",0.763239826650187,0.3685246894880339,0.763239826650187,0.3685246894880339
"(43.0, '新竹縣')",0.7283550799461811,0.37022590606208355,0.7283550799461811,0.37022590606208355
"(43.0, '苗栗縣')",0.8168147332538952,0.5603378268637323,0.8168147332538952,0.5603378268637323
"(43.0, '台中縣')",0.8061336254107339,0.3972290424412487,0.8061336254107339,0.3972290424412487
"(43.0, '彰化縣')",0.8288294568239731,0.49516395376267985,0.8288294568239731,0.49516395376267985
"(43.0, '南投縣')",0.8297702051684598,0.711020663744521,0.8297702051684598,0.711020663744521
"(43.0, '雲林縣')",0.8592920541894934,0.8508386457882032,0.8592920541894934,0.8508386457882032
"(43.0, '嘉義縣')",0.7902429213131607,0.8532478339615253,0.7902429213131607,0.8532478339615253
"(43.0, '台南縣')",0.8317124537838724,0.8370993550889784,0.8317124537838724,0.8370993550889784
"(43.0, '高雄縣')",0.8269032826122004,0.8356184535718489,0.8269032826122004,0.8356184535718489
"(43.0, '屏東縣')",0.8297364187600544,0.8585281649023938,0.8297364187600544,0.8585281649023938
"(43.0, '台東縣')",0.7563220823193313,0.7806098875712305,0.7563220823193313,0.7806098875712305
"(43.0, '花蓮縣')",0.793672871474653,0.7948604342046965,0.793672871474653,0.7948604342046965
"(43.0, '澎湖縣')",0.45555418567377637,0.7640458073937437,0.45555418567377637,0.7640458073937437
"(43.0, '基隆市')",0.2405861537065602,0.15738938627222007,0.2405861537065602,0.15738938627222007
"(43.0, '台中市')",0.42473150357995226,0.19193570358261816,0.42473150357995226,0.19193570358261816
"(43.0, '台南市')",0.3628333811299111,0.4185219831618335,0.3628333811299111,0.4185219831618335
"(43.0, '高雄市')",0.3503633516682057,0.11311808534657937,0.3503633516682057,0.11311808534657937
"(43.0, '台北市')",0.3002487658879776,0.06460065683739781,0.3002487658879776,0.06460065683739781
"(55.0, '台北縣')",0.4829674489023467,0.12228507861571229,0.4829674489023467,0.12228507861571229
"(55.0, '宜蘭縣')",0.681605384602569,0.44964358811489874,0.681605384602569,0.44964358811489874
"(55.0, '桃園縣')",0.6550701804640504,0.3009908760914353,0.6550701804640504,0.3009908760914353
"(55.0, '新竹縣')",0.6311856817231566,0.2812372358991497,0.6311856817231566,0.2812372358991497
"(55.0, '苗栗縣')",0.6737869803099302,0.37368667917448406,0.6737869803099302,0.37368667917448406
"(55.0, '台中縣')",0.5982339462359582,0.21998005668101187,0.5982339462359582,0.21998005668101187
"(55.0, '彰化縣')",0.647362555073751,0.36804694419840567,0.647362555073751,0.36804694419840567
"(55.0, '南投縣')",0.7036638744245717,0.4525619834710744,0.7036638744245717,0.4525619834710744
"(55.0, '雲林縣')",0.730811576824549,0.6628394546771751,0.730811576824549,0.6628394546771751
"(55.0, '嘉義縣')",0.6354070745392709,0.5366166895645421,0.6354070745392709,0.5366166895645421
"(55.0, '台南縣')",0.6037509485039273,0.6123740446867546,0.6037509485039273,0.6123740446867546
"(55.0, '高雄縣')",0.652799862477975,0.5456055516592226,0.652799862477975,0.5456055516592226
"(55.0, '屏東縣')",0.7163283360830165,0.6485109239594776,0.7163283360830165,0.6485109239594776
"(55.0, '台東縣')",0.7364519848459892,0.5385625820979546,0.7364519848459892,0.5385625820979546
"(55.0, '花蓮縣')",0.6531891211769261,0.5465793827782174,0.6531891211769261,0.5465793827782174
"(55.0, '澎湖縣')",0.7534418897197568,0.7894004729447768,0.7534418897197568,0.7894004729447768
"(55.0, '基隆市')",0.4205551922962611,0.2253096221022547,0.4205551922962611,0.2253096221022547
"(55.0, '台中市')",0.2739302949061662,0.1431042616763642,0.2739302949061662,0.1431042616763642
"(55.0, '台南市')",0.2758773223237983,0.23579238031269822,0.2758773223237983,0.23579238031269822
"(55.0, '高雄市')",0.23844828951536268,0.10053601340033501,0.23844828951536268,0.10053601340033501
"(55.0, '台北市')",0.1993372028427485,0.05418850832103415,0.1993372028427485,0.05418850832103415
"(65.0, '台北市')",0.3846041673417804,0.1299552925366963,0.3846041673417804,0.1299552925366963
"(65.0, '台北縣')",0.23358334198704958,0.07729134499914223,0.23358334198704958,0.07729134499914223
"(65.0, '宜蘭縣')",0.5816921331198607,0.23369838628536047,0.5816921331198607,0.23369838628536047
"(65.0, '桃園縣')",0.3298946113589174,0.07618251000459227,0.3298946113589174,0.07618251000459227
"(65.0, '新竹縣')",0.3838418512610302,0.11578190276523788,0.3838418512610302,0.11578190276523788
"(65.0, '苗栗縣')",0.4455161122274317,0.17080677071883932,0.4455161122274317,0.17080677071883932
"(65.0, '台中縣')",0.405160225404707,0.1436378522880846,0.405160225404707,0.1436378522880846
"(65.0, '彰化縣')",0.4984264619960695,0.21784022734449004,0.4984264619960695,0.21784022734449004
"(65.0, '南投縣')",0.6617503764726725,0.3237309514880851,0.6617503764726725,0.3237309514880851
"(65.0, '雲林縣')",0.6982098587884017,0.5339178389091144,0.6982098587884017,0.5339178389091144
"(65.0, '嘉義縣')",0.5959877805306328,0.41584695586535514,0.5959877805306328,0.41584695586535514
"(65.0, '台南縣')",0.49270412135520003,0.3486114033242163,0.49270412135520003,0.3486114033242163
"(65.0, '高雄縣')",0.4773592219324829,0.41561842996115883,0.4773592219324829,0.41561842996115883
"(65.0, '屏東縣')",0.6538145789101203,0.5170689069101151,0.6538145789101203,0.5170689069101151
"(65.0, '台東縣')",0.6931266106205906,0.5906488549618321,0.6931266106205906,0.5906488549618321
"(65.0, '花蓮縣')",0.6777916005319378,0.7122470921708532,0.6777916005319378,0.7122470921708532
"(65.0, '澎湖縣')",0.6736330178759201,0.8344455617515312,0.6736330178759201,0.8344455617515312
"(65.0, '基隆市')",0.5559443030817076,0.28959550314118815,0.5559443030817076,0.28959550314118815
"(65.0, '台中市')",0.28246680171055594,0.11246047385546033,0.28246680171055594,0.11246047385546033
"(65.0, '台南市')",0.3121955660763873,0.20587113991612657,0.3121955660763873,0.20587113991612657
"(65.0, '高雄市')",0.3151760527187382,0.08404288867865027,0.3151760527187382,0.08404288867865027
