,0,1
0,90,1
1,96,0
2,183,107
3,232,2
4,56,0
5,27,0
6,105,0
7,31,0
8,45,0
9,190,0
10,39,0
11,52,0
12,170,1
13,55,0
14,13,2
15,12,0
16,1202,28
17,209,1
18,438,5
19,361,2
20,368,5
21,0,0
