,M,F
0,902,73
1,381,4
2,452,5
3,309,16
4,70,0
5,909,51
6,528,25
7,69,0
8,118,4
9,783,26
10,107,0
11,210,4
12,140,2
13,38,1
14,84,1
15,43,0
16,2778,112
17,403,2
18,1194,60
19,840,25
20,2187,72
21,30,3
