,0,1
0,19196,11531
1,6907,1492
2,8720,6113
3,10736,4961
4,6018,2775
5,11535,7692
6,13421,9631
7,4663,1105
8,6883,1771
9,10561,2749
10,9890,3029
11,7354,2015
12,5981,1393
13,2108,380
14,3447,487
15,1588,1532
16,37600,14632
17,7629,852
18,9630,3401
19,12690,5869
20,21836,3407
21,2801,1877
