,M,F
0,633,21
1,0,0
2,38,2
3,41,0
4,37,2
5,164,12
6,12,0
7,4,0
8,11,0
9,25,2
10,0,0
11,17,7
12,0,0
13,0,0
14,1,1
15,0,0
16,53,9
17,305,50
18,18,0
19,119,4
20,4400,266
21,120,1
